(data_type, time, state, temperature, alt, ram_diff, bno_x, bno_y, bno_z, high_x, high_y, high_z, gyro_x, gyro_y, gyro_z, mag_x, mag_y, mag_z, heading, roll, pitch)
0,419,0,0.0,0.104248,0.0,1.88,0.64,-9.66,3.14,2.71,9.81,0.0625,-0.0625,0.0,6.0,18.68,12.37,22.1,10.9,-176.0
0,430,0,0.0,0.104248,0.0,1.9,0.68,-9.69,3.14,2.71,9.81,0.0625,0.1875,-0.0625,6.0,18.68,12.37,22.1,10.9,-176.0
0,450,0,0.0,0.104248,0.0,1.87,0.6599999,-9.66,3.14,2.71,9.81,0.0,0.0625,0.0625,5.68,18.68,12.37,22.1,10.9,-176.0
0,468,0,0.0,0.104248,0.0,1.88,0.68,-9.639999,3.14,2.71,9.81,0.0625,0.0625,-0.0625,5.68,18.68,12.37,22.1,10.9,-176.0
0,489,0,0.0,0.104248,0.0,1.88,0.6599999,-9.62,3.14,2.71,9.81,0.0,0.0625,0.0625,5.68,18.68,12.37,22.1,10.9,-176.0
0,507,0,0.0,0.104248,-151.1875,1.87,0.67,-9.62,3.14,2.71,9.81,-0.0625,0.125,0.0,4.56,18.37,12.75,22.1,10.9,-176.0
0,530,0,0.0,0.104248,-151.1875,1.85,0.65,-9.65,3.14,2.71,9.81,-0.0625,0.0,0.125,4.56,18.37,12.75,22.1,10.9,-176.0
0,548,0,0.0,0.104248,-151.1875,1.86,0.64,-9.63,3.14,2.71,9.81,-0.0625,0.125,0.0,4.56,18.37,12.75,22.1,10.9,-176.0
0,564,0,0.0,0.104248,-151.1875,1.87,0.64,-9.63,3.14,2.71,9.81,-0.125,0.1875,-0.125,5.68,19.06,13.18,22.1,10.9,-176.0
0,713,0,0.0,0.1702881,195.8125,1.88,0.6599999,-9.67,3.14,2.71,9.81,-0.0625,0.0625,0.0625,6.0,19.06,13.18,22.1,10.9,-176.0
0,730,0,0.0,0.1702881,195.8125,1.89,0.67,-9.679999,3.14,2.71,9.81,0.0,0.125,0.0625,6.0,19.06,13.18,22.1,10.9,-176.0
0,747,0,0.0,0.1702881,195.8125,1.9,0.67,-9.65,3.14,2.71,9.81,0.0,-0.1875,0.0,6.0,19.06,13.18,22.1,10.9,-176.0
0,762,0,0.0,0.1702881,195.8125,1.89,0.6599999,-9.66,3.14,2.71,9.81,-0.125,0.0625,0.0625,5.68,18.68,12.0,22.1,10.9,-176.0
0,1253,0,-0.02,0.04760742,-3.1875,1.91,0.55,-9.82,3.14,2.71,9.81,0.0625,-0.0625,-0.125,6.0,19.5,13.68,22.1,10.9,-176.0
0,1271,0,-0.02,0.04760742,275.8125,1.95,0.59,-9.849999,3.14,2.71,9.81,-0.125,0.0625,-0.0625,6.0,19.5,13.68,22.1,10.9,-176.0
0,1289,0,-0.02,0.04760742,275.8125,1.81,0.71,-9.48,3.14,2.71,9.81,-0.0625,0.1875,0.0625,6.0,19.5,13.68,22.1,10.9,-176.0
0,1307,0,-0.02,0.1089478,275.8125,1.79,0.78,-9.44,3.14,2.71,9.81,0.0,-0.125,0.0,5.68,18.68,12.0,22.1,10.9,-176.0
0,1368,0,-0.02,0.1655884,393.8125,1.89,0.63,-9.73,3.14,2.71,9.81,-0.25,0.125,-0.0625,6.0,19.06,12.0,22.1,10.9,-176.0
0,1386,0,-0.02,0.1655884,393.8125,1.87,0.7,-9.62,3.14,2.71,9.81,0.0,0.1875,0.0,6.0,19.06,12.0,22.1,10.9,-176.0
0,1431,0,-0.02,0.2269287,393.8125,1.87,0.7,-9.69,3.14,2.71,9.81,-0.0625,-0.125,-0.0625,5.37,18.68,11.5,22.1,10.9,-176.0
0,1455,0,-0.02,0.2269287,66.8125,1.88,0.65,-9.63,3.14,2.71,9.81,0.125,0.1875,-0.0625,6.37,19.06,12.37,22.1,10.9,-176.0
0,1502,0,-0.02,0.2269287,66.8125,1.89,0.6,-9.57,3.14,2.71,9.81,0.125,0.3125,-0.1875,6.37,19.06,12.37,22.1,10.9,-176.0
1,18.0,40.0,14.48639,N,73.0,42.0,20.85251,E,0.0,0.0,0.95,0.0,b'GGA',44.94269,1444.0,20.0
0,1521,0,-0.02,0.2269287,66.8125,1.9,0.62,-9.599999,3.14,2.71,9.81,0.125,-0.0625,-0.0625,6.75,19.06,12.0,22.1,10.9,-176.0
0,1574,0,-0.02,0.1655884,41.8125,1.84,0.68,-10.02,3.14,2.71,9.81,0.0,0.125,-0.0625,6.0,19.06,12.37,22.1,10.9,-176.0
0,1597,0,-0.02,0.1089478,41.8125,2.0,0.54,-10.0,3.14,2.71,9.81,-0.0625,-0.1875,0.0,6.0,19.06,12.37,22.1,10.9,-176.0
0,1645,0,-0.02,0.2269287,121.8125,1.95,0.59,-9.73,3.14,2.71,9.81,-0.1875,-0.125,-0.125,5.68,19.06,12.0,22.1,10.9,-176.0
0,1667,0,-0.02,0.2269287,121.8125,1.84,0.7,-9.49,3.14,2.71,9.81,-0.125,-0.125,-0.0625,6.37,18.68,12.75,22.1,10.9,-176.0
0,1681,0,-0.02,0.2269287,121.8125,1.86,0.65,-9.74,3.14,2.71,9.81,0.0,-0.0625,0.0,6.37,18.68,12.75,22.1,10.9,-176.0
0,1700,0,-0.02,0.2269287,121.8125,1.84,0.69,-9.559999,3.14,2.71,9.81,-0.25,-0.125,0.0,6.37,18.68,12.75,22.1,10.9,-176.0
0,1731,0,-0.02,0.1702881,121.8125,1.86,0.77,-9.599999,3.14,2.71,9.81,-0.125,0.0625,0.0,6.0,18.68,12.37,22.1,10.9,-176.0
0,1748,0,-0.02,0.2269287,159.8125,1.85,0.71,-9.75,3.14,2.71,9.81,0.0,0.125,0.0,6.0,18.68,12.37,22.1,10.9,-176.0
0,1760,0,-0.02,0.2269287,159.8125,1.84,0.6599999,-9.58,3.14,2.71,9.81,0.1875,0.0,0.0625,6.0,19.06,13.18,22.1,10.9,-176.0
0,1770,0,-0.02,0.1702881,159.8125,1.84,0.76,-9.61,3.14,2.71,9.81,0.25,0.0625,0.0,6.0,19.06,13.18,22.1,10.9,-176.0
0,1778,0,-0.02,0.1702881,159.8125,1.84,0.76,-9.61,3.14,2.71,9.81,-0.0625,-0.125,-0.0625,6.0,19.06,13.18,22.1,10.9,-176.0
1,18.0,40.0,14.48639,N,73.0,42.0,20.85251,E,0.0,0.0,0.95,2.0,b'GLL',44.94269,1769.0,8.0
0,1785,0,-0.02,0.1089478,159.8125,1.87,0.6599999,-9.69,3.14,2.71,9.81,-0.0625,-0.125,-0.0625,6.0,19.06,13.18,22.1,10.9,-176.0
0,1794,0,-0.02,0.1089478,159.8125,1.84,0.68,-9.62,3.14,2.71,9.81,0.0625,0.0,0.0,6.0,19.06,13.18,22.1,10.9,-176.0
0,1803,0,-0.02,0.1089478,159.8125,1.88,0.6599999,-9.73,3.14,2.71,9.81,0.0625,-0.125,0.0,6.0,19.06,13.18,22.1,10.9,-176.0
0,1810,0,-0.02,0.1702881,159.8125,1.86,0.65,-9.57,3.14,2.71,9.81,-0.0625,0.0625,-0.125,6.37,19.06,12.0,22.1,10.9,-176.0
0,1817,0,-0.02,0.1702881,159.8125,1.86,0.65,-9.57,3.14,2.71,9.81,-0.1875,-0.1875,0.0,6.37,19.06,12.0,22.1,10.9,-176.0
0,1825,0,-0.02,0.1702881,159.8125,1.85,0.63,-9.599999,3.14,2.71,9.81,-0.1875,-0.1875,0.0,6.37,19.06,12.0,22.1,10.9,-176.0
