Partlist exported from C:/Users/mc041/OneDrive/Documents/EAGLE/projects/FLYTE_3.0/FLYTE_3.0.sch at 01-09-2024 17:35

Qty Value               Device                  Package                    Parts                                                                                            Description                                                                                                                                                                                                                                                    AVAILABILITY CENTERLINE_PITCH CHECK_PRICES                                                                              COMMENT  CUI_PURCHASE_URL                                                                                                                                       DESCRIPTION                                                                                                                                                               ELEMENT14_PART_NUMBER ELEMENT14_PRICE-STOCK EU_ROHS_COMPLIANCE        HEIGHT  MANUFACTURER MANUFACTURER_NAME  MANUFACTURER_PART_NUMBER MAXIMUM_PACKAGE_HEIGHT MF                    MP                  MPN NUMBER_OF_POSITIONS OC_FARNELL OC_NEWARK PACKAGE                       PARTREV  POPULARITY PRICE  PURCHASE-URL                                                                                                                                           SNAPEDA_LINK                                                                               SNAPEDA_PN          STANDARD                    
9                       LED.0603                0603.LED                   D3, D4, D5, D6, D7, D9, D11, D12, LED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2   CON-SMA-EDGE-S      CON-SMA-EDGE-S          RFSOLUTIONS_CON-SMA-EDGE-S J8, J12                                                                                          Check availability                                                                                                                                                                                                                                             In Stock                      https://www.snapeda.com/parts/CON-SMA-EDGE-S/RF+Solutions/view-part/?ref=eda                                                                                                                                                                               SMA Connector Jack, Female Socket - Board Edge, End Launch Solder                                                                                                                                                                                                                                                                      RF Solutions          CON-SMA-EDGE-S                                                   None                                              None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=557794&manufacturer=RF Solutions&part_name=CON-SMA-EDGE-S&search_term=None              https://www.snapeda.com/parts/CON-SMA-EDGE-S/RF+Solutions/view-part/?ref=snap                                                              
1   DTSM-3              DTSM-3                  DTSM-3                     BOOT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1   FC-135_32.7680KA-A0 FC-135_32.7680KA-A0     XTAL_FC-135_32.7680KA-A0   Y1                                                                                               None Check availability                                                                                                                                                                                                                                        In Stock                      https://www.snapeda.com/parts/FC-135%2032.7680KA-A0/EPSON/view-part/?ref=eda                                                                                                                                                                               32.768 kHz ±20ppm Crystal 12.5pF 70 kOhms 2-SMD, No Lead                                                                                                                                                                                                                                                                               EPSON                 FC-135 32.7680KA-A0                                              SMD-2 Epson                                       None                                                                                                                                                          https://www.snapeda.com/parts/FC-135%2032.7680KA-A0/EPSON/view-part/?ref=snap                                                              
1   KX134-1211          KX134-1211              KX1341211                  AC1                                                                                              Accelerometers Tri-Axis Acclrmtr 8g, 16g, 32g                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Accelerometers Tri-Axis Acclrmtr 8g, 16g, 32g                                                                                                                                                                                                   1mm                  Kionix             KX134-1211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
8   LT3120JV#PBF        LT3120JV#PBF            QFN50P400X500X83-29N       CHG_BST, REG_3V3, REG_5V, REG_CAM, REG_FIN_1, REG_FIN_2, REG_TVC_1, REG_TVC_2                    Switching Voltage Regulators 24V, 6.5A Sync Buck-Boost Converter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Switching Voltage Regulators 24V, 6.5A Sync Buck-Boost Converter                                                                                                                                                                                0.83mm               Analog Devices     LT3120JV#PBF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1   MAX8574EUT+T        MAX8574EUT+T            SOT95P280X145-6N           IC6                                                                                              MAXIM INTEGRATED PRODUCTS - MAX8574EUT+T - DC/DC CONV, BOOST, 800KHZ, 85DEG C                                                                                                                                                                                                                                                                                                                                                                                                                                                                          MAXIM INTEGRATED PRODUCTS - MAX8574EUT+T - DC/DC CONV, BOOST, 800KHZ, 85DEG C                                                                                                                                                                   1.45mm               Analog Devices     MAX8574EUT+T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1   MCP73843-420I_MS    MCP73843-420I_MS        SOP65P490X110-8N           IC8                                                                                              Li-Ion Charge Controller 4.2V MSOP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Li-Ion Charge Controller 4.2V MSOP8                                                                                                                                                                                                             1.1mm                Microchip          MCP73843-420I/MS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
1   MCP73844-840I_MS    MCP73843-420I_MS        SOP65P490X110-8N           IC9                                                                                              Li-Ion Charge Controller 4.2V MSOP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Li-Ion Charge Controller 4.2V MSOP8                                                                                                                                                                                                             1.1mm                Microchip          MCP73843-420I/MS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
4   MOUNT-PAD-ROUND3.0  MOUNT-PAD-ROUND3.0      3,0-PAD                    H1, H2, H3, H4                                                                                   MOUNTING PAD, round                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          17                                                                                                                                                                                                                                                                                                                  
1   MPXV5100DP          MPXV5100DP              MPXV5100DP                 IC2                                                                                              Board Mount Pressure Sensors SOP DUAL PORT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Board Mount Pressure Sensors SOP DUAL PORT                                                                                                                                                                                                      9.906mm              NXP                MPXV5100DP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1   RP2040-QFN56        RP2040-QFN56            RP2040-QFN-56              RP2040                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
5   RSX501LAM20TR       RSX501LAM20TR           SODFL4725X105N             D1, D2, D8, D10, D13                                                                             20V, 5A, SOD-128, Schottky Barrier Diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               20V, 5A, SOD-128, Schottky Barrier Diode                                                                                                                                                                                                        1.05mm               ROHM Semiconductor RSX501LAM20TR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1   SAW_FILTER          AFS14A04-1575.42-T3     FIL_AFS14A04-1575.42-T3    SAW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Abracon                                                  0.7mm                                                                                                                                       04.16.13                                                                                                                                                                                                                                                                     AFS14A04-1575.42-T3 Manufacturer Recommendations
3   SI7625DN-T1-GE3     SI7625DN-T1-GE3         SIS862DNT1GE3              Q1, Q6, Q7                                                                                       VISHAY - SI7625DN-T1-GE3 - MOSFET, P CHANNEL, -30V, -35A, POWERPAK 1212-8                                                                                                                                                                                                                                                                                                                                                                                                                                                                              VISHAY - SI7625DN-T1-GE3 - MOSFET, P CHANNEL, -30V, -35A, POWERPAK 1212-8                                                                                                                                                                       1.12mm               Vishay             SI7625DN-T1-GE3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
3   SN74LVC1G04DBVR     SN74LVC1G04DBVR         SOT23-5                    U$1, U$2, U$3                                                                                    Check availability                                                                                                                                                                                                                                             In Stock                      https://www.snapeda.com/parts/SN74LVC1G04DBVR/Umwelt+Sensor+Teknik/view-part/?ref=eda                                                                                                                                                                      Inverter IC 1 Channel SOT-23-5                                                                                                                                                                                                                                                                                                         UMW                   SN74LVC1G04DBVR                                                  None                                              None                                                                                                                                                          https://www.snapeda.com/parts/SN74LVC1G04DBVR/Umwelt+Sensor+Teknik/view-part/?ref=snap                                                     
1   SX1272IMLTRT        SX1272IMLTRT            QFN65P600X600X100-29N      SX1272                                                                                           SX1272 Series 860-1020 MHz 300 kbps Low Power Long Range Transceiver - QFN-28EP Check availability                                                                                                                                                             In Stock                      https://www.snapeda.com/parts/SX1272IMLTRT/Semtech+Corporation/view-part/?ref=eda                                                                                                                                                                          IC RF TxRx Only 802.15.4 LoRa™ 860MHz ~ 1.02GHz 28-VQFN Exposed Pad                                                                                                                                                                                                                                                                    Semtech               SX1272IMLTRT                                                     VQFN-28 Semtech                                   None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=227639&manufacturer=Semtech&part_name=SX1272IMLTRT&search_term=None                     https://www.snapeda.com/parts/SX1272IMLTRT/Semtech+Corporation/view-part/?ref=snap                                                         
1   TESEO-LIV3F         TESEO-LIV3F             SON110P970X1010X230-18N    GNSS                                                                                             GPS Modules Tiny GNSS module                                                                                                                                                                                                                                   In Stock                      https://www.snapeda.com/parts/TESEO-LIV3F/STMicroelectronics/view-part/?ref=eda                                                                                                                                                                            - RF Receiver BeiDou, Galileo, GLONASS, GNSS, GPS 1.575GHz -163dBm Not Included 18-LCC (9.7x10.1)                                                                                                                                                                                                                                      STMicroelectronics    TESEO-LIV3F                                                      SMD-18 STMicroelectronics                         None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=1474256&manufacturer=STMicroelectronics&part_name=TESEO-LIV3F&search_term=None          https://www.snapeda.com/parts/TESEO-LIV3F/STMicroelectronics/view-part/?ref=snap                                                           
1   USB Type C          USB_C                   USB_C_CUSB31-CFM2AX-01-X   X6                                                                                               USB Type-C USB 2.0 Connector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1   V60D60C-M3_I        V60D60C-M3_I            V60D60CM3I                 1S_POW                                                                                           Schottky Diodes & Rectifiers 60V 60A SMPD(TO-263AC)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Schottky Diodes & Rectifiers 60V 60A SMPD(TO-263AC)                                                                                                                                                                                             1.8mm                Vishay             V60D60C-M3/I                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1   W25Q128JVSIQ        W25Q128JVSIQ            SOIC127P790X216-8N         FLASH                                                                                            Check availability                                                                                                                                                                                                                                             In Stock                      https://www.snapeda.com/parts/W25Q128JVSIQ/Winbond+Electronics/view-part/?ref=eda                                                                                                                                                                          FLASH - NOR Memory IC 128Mb (16M x 8) SPI - Quad I/O, QPI, DTR 133 MHz 8-SOIC                                                                                                                                                                                                                                                          Winbond Electronics   W25Q128JVSIQ                                                     SOIC-8 Winbond Electronics                        None                                                                                                                                                          https://www.snapeda.com/parts/W25Q128JVSIQ/Winbond+Electronics/view-part/?ref=snap                                                         
1   W3010               W3010                   XCVR_W3010                 CHIP_ANT                                                                                         1.575GHz GPS Chip RF Antenna 2.8dBi Solder Surface Mount Check availability                                                                                                                                                                                    Not in stock                  https://www.snapeda.com/parts/W3010/PulseLarsen+Antennas/view-part/?ref=eda                                                                                                                                                                                1.575GHz GPS Chip RF Antenna - 2.8dBi Solder Surface Mount                                                                                                                                                                                                                                                                             PulseLarsen Antennas  W3010                                                            None                                              None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=242644&manufacturer=PulseLarsen Antennas&part_name=W3010&search_term=None               https://www.snapeda.com/parts/W3010/PulseLarsen+Antennas/view-part/?ref=snap                                                               
1   XT30UPB-M           XT30UPB-M               XT30UPB-M                  U$11                                                                                             Check availability                                                                                                                                                                                                                                             Not in stock                                                                                                                                                                                                                                                                              Socket                                                                                                                                                                   DC supply             XT30                  male                      PIN: 2  on PCBs      THT                yellow                   15A                    500V                                                                                                                                    amass  XT30UPB-M                                                                                                                                                                                                                                                                                         
1   XT60-M              XT60-M                  AMASS_XT60-M               J7                                                                                               Check availability                                                                                                                                                                                                                                             Not in stock                                                                                                                                                                                                                                                                             Plug                                                                                                                                                                      DC supply             XT60                  male                      PIN: 2  for cable    soldered           30A                      500V                                                                                                                                                AMASS      XT60-M                                                                                                                                                                                                                                                                                                   
