Partlist exported from C:/Users/mc041/OneDrive/Documents/EAGLE/projects/FLYTE_3.0/FLYTE_3.0.sch at 01-09-2024 17:35

Qty Value               Device                  Package                    Parts                                                                                            Description                                                                                                                                                                                                                                                    AVAILABILITY CENTERLINE_PITCH CHECK_PRICES                                                                              COMMENT  CUI_PURCHASE_URL                                                                                                                                       DESCRIPTION                                                                                                                                                               ELEMENT14_PART_NUMBER ELEMENT14_PRICE-STOCK EU_ROHS_COMPLIANCE        HEIGHT  MANUFACTURER MANUFACTURER_NAME  MANUFACTURER_PART_NUMBER MAXIMUM_PACKAGE_HEIGHT MF                    MP                  MPN NUMBER_OF_POSITIONS OC_FARNELL OC_NEWARK PACKAGE                       PARTREV  POPULARITY PRICE  PURCHASE-URL                                                                                                                                           SNAPEDA_LINK                                                                               SNAPEDA_PN          STANDARD                    
9                       LED.0603                0603.LED                   D3, D4, D5, D6, D7, D9, D11, D12, LED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   100 uF              CAPACITOR.1210          1210                       C112                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
13  100k ohm            RESISTOR.0603           0603                       R17, R25, R31, R37, R62, R65, R66, R69, R75, R77, R79, R87, R89                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1   105 ohm             RESISTOR.0603           0603                       R28                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
20  10k ohm             RESISTOR.0603           0603                       R0, R9, R10, R13, R15, R20, R21, R26, R27, R36, R43, R70, R72, R73, R80, R81, R82, R83, R84, R85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
4   10uF                CAP_TANTALUMA/3216_WAVE EIA3216-18/A-W             C96, C98, C99, C100                                                                              Tantalum Capacitors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2   120 pF              CAPACITOR.0603          0603                       C33, C37                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1   137k ohm            RESISTOR.0603           0603                       R18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3   158 ohm             RESISTOR.0603           0603                       R34, R61, R64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10  158k ohm            RESISTOR.0603           0603                       R23, R33, R39, R42, R46, R50, R54, R67, R86, R88                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2   1k ohm              RESISTOR.0603           0603                       R1, R5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1   2.7 nH              RF-INDUCTOR.0603        0603                       L2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
1   21k ohm             RESISTOR.0603           0603                       R41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
8   22 nF               CAPACITOR.0603          0603                       C35, C64, C71, C78, C85, C92, C105, C111                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1   22 pF               CAPACITOR.0603          0603                       C47                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   22 uH               RF-INDUCTOR.0603        0603                       L8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
1   220 uF              CAPACITOR.1210          1210                       C65                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
